LC,gl_sh,gl_e_wv,rbl_min,rbl_max,cl,tmin_open,tmin_close,vpd_close,vpd_open
0,0.02,0.02,20,50,0.007,12.02,-8,4500,650
1,0.04,0.04,65,95,0.0032,8.31,-8,3000,650
2,0.01,0.01,70,100,0.0025,9.09,-8,4000,1000
3,0.04,0.04,65,95,0.0032,10.44,-8,3500,650
4,0.01,0.01,65,100,0.0028,9.94,-6,2900,650
5,0.04,0.04,65,95,0.0025,9.5,-7,2900,650
6,0.04,0.04,20,55,0.0065,8.61,-8,4300,650
7,0.04,0.04,20,55,0.0065,8.8,-8,4400,650
8,0.08,0.08,25,45,0.0065,11.39,-8,3500,650
9,0.08,0.08,25,45,0.0065,11.39,-8,3600,650
10,0.02,0.02,20,50,0.007,12.02,-8,4200,650
11,0.01,0.01,20,45,0.0065,12.02,-8,4200,650
12,0.02,0.02,20,50,0.007,12.02,-8,4500,650
13,0.02,0.02,20,50,0.007,12.02,-8,4500,650
14,0.02,0.02,20,50,0.007,12.02,-8,4500,650
15,0.02,0.02,20,50,0.007,12.02,-8,4500,650
16,0.02,0.02,20,50,0.007,12.02,-8,4500,650
17,0.02,0.02,20,50,0.007,12.02,-8,4500,650
